timestamp,left,mid,right
2025-11-29T22:10:52,450,133,483
2025-11-29T22:10:54,532,302,337
2025-11-29T22:10:56,628,653,468
2025-11-29T22:10:58,501,554,473
2025-11-29T22:11:00,488,506,291
2025-11-29T22:11:02,529,528,511
2025-11-29T22:11:04,477,556,572
2025-11-29T22:11:06,487,474,272
2025-11-29T22:11:08,543,557,391
2025-11-29T22:11:10,590,411,283
2025-11-29T22:11:12,571,530,406
2025-11-29T22:11:14,457,462,362
2025-11-29T22:11:16,620,520,336
2025-11-29T22:11:18,585,257,570
2025-11-29T22:11:20,516,426,174
2025-11-29T22:11:22,661,633,380
2025-11-29T22:11:24,639,573,480
2025-11-29T22:11:27,575,550,792
2025-11-29T22:11:29,577,164,627
2025-11-29T22:11:31,580,459,207
2025-11-29T22:11:33,632,542,480
2025-11-29T22:11:35,537,554,711
2025-11-29T22:11:37,701,593,715
2025-11-29T22:11:39,611,536,621
2025-11-29T22:11:41,534,547,654
2025-11-29T22:11:43,597,598,349
2025-11-29T22:11:45,546,432,270
2025-11-29T22:11:49,589,628,242
2025-11-29T22:11:51,645,317,276
2025-11-29T22:11:53,484,460,495
2025-11-29T22:11:55,467,519,420
2025-11-29T22:11:57,448,482,260
2025-11-29T22:11:59,426,480,398
2025-11-29T22:12:01,635,598,882
2025-11-29T22:12:26,541,428,230
2025-11-29T22:12:28,530,496,522
2025-11-29T22:12:30,682,586,162
2025-11-29T22:12:32,619,602,567
2025-11-29T22:12:34,692,645,731
2025-11-29T22:12:36,584,572,709
2025-11-29T22:12:38,535,510,391
2025-11-29T22:13:30,550,163,701
2025-11-29T22:13:32,631,602,488
2025-11-29T22:13:34,494,508,168
2025-11-29T22:13:36,683,559,206
2025-11-29T22:13:38,593,498,362
2025-11-29T22:13:40,573,552,680
2025-11-29T23:42:24,487,136,618
2025-11-29T23:42:26,700,649,469
2025-11-29T23:42:28,491,457,138
