timestamp,state
2025-11-29T22:10:52,forward
2025-11-29T22:10:56,stop
2025-11-29T22:11:00,left
2025-11-29T22:11:02,stop
2025-11-29T22:11:06,left
2025-11-29T22:11:18,forward
2025-11-29T22:11:20,left
2025-11-29T22:11:24,stop
2025-11-29T22:11:29,forward
2025-11-29T22:11:31,left
2025-11-29T22:11:33,stop
2025-11-29T22:11:43,left
2025-11-29T22:11:51,forward
2025-11-29T22:11:53,stop
2025-11-29T22:11:55,left
2025-11-29T22:12:01,stop
2025-11-29T22:12:26,left
2025-11-29T22:12:28,stop
2025-11-29T22:12:30,left
2025-11-29T22:12:32,stop
2025-11-29T22:12:38,left
2025-11-29T22:13:30,forward
2025-11-29T22:13:32,stop
2025-11-29T22:13:34,left
2025-11-29T22:13:40,stop
2025-11-29T23:42:24,forward
2025-11-29T23:42:26,stop
2025-11-29T23:42:28,left
