timestamp,state
2025-11-04T16:16:37,forward
2025-11-04T16:16:39,stop
2025-11-04T16:16:41,left
2025-11-04T16:16:43,stop
2025-11-04T16:16:49,left
2025-11-04T16:16:53,stop
2025-11-04T16:16:55,left
2025-11-04T16:16:58,forward
2025-11-04T16:17:00,stop
2025-11-04T16:17:02,forward
2025-11-04T16:17:04,left
2025-11-04T16:17:08,forward
2025-11-04T16:17:10,stop
2025-11-04T16:17:20,left
2025-11-04T16:17:22,stop
2025-11-04T16:17:24,left
2025-11-04T16:17:28,stop
2025-11-04T16:17:32,left
2025-11-04T16:17:36,forward
