timestamp,state
2025-11-30T02:53:30,forward
2025-11-30T02:53:32,left
2025-11-30T02:53:34,stop
2025-11-30T02:53:36,left
2025-11-30T14:37:15,forward
2025-11-30T14:37:19,stop
2025-11-30T14:37:21,left
2025-11-30T14:37:23,stop
2025-11-30T14:37:25,forward
2025-11-30T16:16:29,forward
2025-11-30T16:16:31,left
2025-11-30T16:16:33,stop
2025-11-30T16:16:37,left
2025-11-30T16:16:39,stop
2025-11-30T16:16:41,left
2025-11-30T16:17:08,forward
2025-11-30T16:17:16,left
2025-11-30T16:17:18,stop
2025-11-30T16:17:24,forward
2025-11-30T16:17:26,stop
2025-11-30T16:17:28,forward
2025-11-30T16:19:16,forward
2025-11-30T16:19:20,left
2025-11-30T16:19:24,forward
2025-11-30T16:19:26,stop
2025-11-30T16:19:30,left
2025-11-30T16:19:32,stop
2025-11-30T16:20:18,forward
2025-11-30T16:20:20,left
2025-11-30T16:20:22,forward
2025-11-30T16:20:24,left
2025-11-30T16:20:30,stop
2025-11-30T16:20:32,left
2025-11-30T16:20:34,forward
2025-11-30T16:20:36,left
2025-11-30T16:20:38,stop
2025-11-30T16:20:40,left
2025-11-30T16:20:42,stop
2025-11-30T16:20:46,forward
2025-11-30T16:21:09,forward
2025-11-30T16:21:15,left
2025-11-30T16:21:17,forward
2025-11-30T16:21:19,stop
2025-11-30T16:21:44,forward
2025-11-30T16:21:46,left
2025-11-30T16:23:20,forward
2025-11-30T16:23:24,left
2025-11-30T16:24:01,forward
2025-11-30T16:24:03,left
2025-11-30T16:24:21,forward
2025-11-30T16:24:26,left
2025-11-30T16:24:28,stop
2025-11-30T16:24:30,left
