timestamp,left,mid,right
2025-12-01T22:41:21,557,148,672
2025-12-01T22:41:23,482,390,192
2025-12-01T22:41:27,660,605,575
2025-12-01T22:41:29,577,601,163
2025-12-01T22:41:31,538,514,615
2025-12-01T22:41:33,674,162,446
2025-12-01T22:41:35,571,565,502
2025-12-01T22:41:37,517,470,607
2025-12-01T22:41:39,521,488,466
2025-12-01T22:41:41,495,505,173
2025-12-01T22:41:43,469,486,389
2025-12-01T22:41:45,525,523,227
2025-12-01T22:41:47,459,495,271
2025-12-01T22:41:49,492,507,458
2025-12-01T22:41:51,444,540,606
2025-12-01T22:41:53,560,542,236
2025-12-01T22:41:55,387,432,362
2025-12-01T22:41:57,632,504,692
2025-12-01T22:41:59,135,112,92
2025-12-01T22:42:01,535,152,693
2025-12-01T22:42:03,575,510,160
2025-12-01T22:42:05,590,561,156
2025-12-01T22:42:07,494,490,431
2025-12-01T22:42:09,657,639,688
2025-12-01T22:42:11,637,626,798
2025-12-01T22:42:15,18,17,16
2025-12-01T22:42:27,637,21,3
2025-12-01T22:42:29,17,14,15
2025-12-01T22:42:33,478,129,629
2025-12-01T22:42:35,514,476,154
2025-12-01T22:42:37,631,417,342
2025-12-01T22:42:40,599,581,284
2025-12-01T22:42:42,572,517,233
2025-12-01T22:42:44,702,585,471
2025-12-01T22:42:46,592,566,179
2025-12-01T22:42:48,575,576,405
2025-12-01T22:42:50,468,504,365
2025-12-01T22:42:52,503,146,547
2025-12-01T22:42:54,505,499,292
2025-12-01T22:42:56,567,539,476
2025-12-01T22:42:58,596,213,507
2025-12-01T22:43:00,549,325,216
2025-12-01T22:43:02,570,592,294
2025-12-01T22:43:04,649,177,206
2025-12-01T22:43:06,589,574,541
