timestamp,distance
2025-11-03T23:09:33,31.57
2025-11-03T23:09:33,30.78
2025-11-03T23:09:33,28.03
2025-11-03T23:09:33,26.17
2025-11-03T23:09:34,24.56
2025-11-03T23:09:34,25.94
2025-11-03T23:09:34,63.58
2025-11-03T23:09:34,23.05
2025-11-03T23:09:34,61.06
2025-11-03T23:09:34,59.21
2025-11-03T23:09:34,83.85
2025-11-03T23:09:34,57.19
2025-11-03T23:09:34,59.48
2025-11-03T23:09:34,57.11
2025-11-03T23:09:34,59.43
2025-11-03T23:09:34,63.27
2025-11-03T23:09:34,66.09
2025-11-03T23:09:34,62.82
2025-11-03T23:09:34,57.35
2025-11-03T23:09:34,65.22
2025-11-03T23:09:34,7.3
2025-11-03T23:09:35,55.38
2025-11-03T23:09:35,54.81
2025-11-03T23:09:35,56.64
2025-11-03T23:09:35,54.85
2025-11-03T23:09:35,51.52
2025-11-03T23:09:35,55.06
2025-11-03T23:09:35,57.13
2025-11-03T23:09:35,51.29
2025-11-03T23:09:35,51.56
2025-11-03T23:09:35,83.74
2025-11-03T23:09:35,50.42
2025-11-03T23:09:35,50.83
2025-11-03T23:09:35,50.91
2025-11-03T23:09:35,48.85
2025-11-03T23:09:35,50.6
2025-11-03T23:09:35,50.21
2025-11-03T23:09:35,49.44
2025-11-03T23:09:35,81.49
2025-11-03T23:09:35,46.51
2025-11-03T23:09:36,35.07
2025-11-03T23:09:36,41.86
2025-11-03T23:09:36,42.09
2025-11-03T23:09:36,58.45
2025-11-03T23:09:36,39.81
2025-11-03T23:09:36,36.76
2025-11-03T23:09:36,36.77
2025-11-03T23:09:36,50.41
2025-11-03T23:09:36,31.01
2025-11-03T23:09:36,26.85
2025-11-03T23:09:36,23.63
2025-11-03T23:09:37,21.2
2025-11-03T23:09:37,20.44
2025-11-03T23:09:37,67.59
2025-11-03T23:09:37,206.21
2025-11-03T23:09:37,57.83
2025-11-03T23:09:37,57.0
2025-11-03T23:09:37,64.83
2025-11-03T23:09:37,4.04
