timestamp,left,mid,right
2025-11-19T00:17:41,2571,3085,3599
2025-11-19T00:17:43,542,159,626
2025-11-19T00:17:45,308,287,737
2025-11-19T00:17:47,528,287,249
2025-11-19T00:17:49,614,597,779
2025-11-19T00:17:51,163,169,89
2025-11-19T00:17:53,435,211,627
2025-11-19T00:17:57,480,497,622
2025-11-19T00:18:00,655,361,345
2025-11-19T00:18:01,539,510,720
2025-11-19T00:18:05,583,139,666
2025-11-19T00:18:08,149,568,717
2025-11-19T00:18:08,624,606,714
2025-11-19T00:18:10,274,608,803
2025-11-19T00:18:21,606,154,744
2025-11-19T00:18:23,199,537,676
2025-11-19T00:18:26,581,532,681
2025-11-19T00:18:28,126,414,694
2025-11-19T00:18:30,137,369,569
2025-11-19T00:36:29,2571,3085,3599
2025-11-19T00:36:39,577,182,732
2025-11-19T00:36:41,608,474,590
2025-11-19T00:36:43,553,448,146
2025-11-19T00:36:45,195,598,728
2025-11-19T00:36:47,387,532,608
2025-11-19T00:36:49,122,524,652
2025-11-19T00:36:51,543,160,689
