timestamp,left,mid,right
2025-11-01T13:58:51,2571,3085,3599
2025-11-01T13:58:53,577,181,657
2025-11-01T13:58:55,661,292,493
2025-11-01T13:58:57,648,647,644
2025-11-01T13:58:59,608,580,509
2025-11-01T13:59:01,707,688,245
2025-11-01T13:59:03,753,581,522
2025-11-01T13:59:05,567,612,739
2025-11-01T13:59:08,556,553,494
2025-11-01T13:59:10,486,468,339
2025-11-01T13:59:12,517,161,498
2025-11-01T13:59:14,593,313,471
2025-11-01T13:59:16,672,570,532
2025-11-01T13:59:18,588,509,661
2025-11-01T13:59:20,563,530,473
2025-11-01T13:59:22,493,148,603
2025-11-01T13:59:24,551,516,210
2025-11-01T13:59:26,460,132,517
2025-11-01T13:59:28,491,442,548
2025-11-01T13:59:30,534,527,509
2025-11-01T13:59:32,709,317,580
2025-11-01T13:59:34,253,323,668
