timestamp,state
2025-12-01T22:41:21,forward
2025-12-01T22:41:23,left
2025-12-01T22:41:27,stop
2025-12-01T22:41:29,left
2025-12-01T22:41:31,stop
2025-12-01T22:41:33,forward
2025-12-01T22:41:35,stop
2025-12-01T22:41:41,left
2025-12-01T22:41:51,stop
2025-12-01T22:41:53,left
2025-12-01T22:41:57,stop
2025-12-01T22:41:59,forward
2025-12-01T22:42:03,left
2025-12-01T22:42:09,stop
2025-12-01T22:42:15,forward
2025-12-01T22:42:36,left
2025-12-01T22:42:44,stop
2025-12-01T22:42:46,left
2025-12-01T22:42:52,forward
2025-12-01T22:42:54,left
2025-12-01T22:42:56,stop
2025-12-01T22:42:58,forward
2025-12-01T22:43:02,left
2025-12-01T22:43:04,forward
2025-12-01T22:43:06,stop
