timestamp,left,mid,right
2025-11-30T02:53:30,460,135,596
2025-11-30T02:53:32,518,451,264
2025-11-30T02:53:34,567,538,576
2025-11-30T02:53:36,638,580,340
2025-11-30T13:12:08,111,222,333
2025-11-30T14:37:15,479,130,570
2025-11-30T14:37:17,556,219,548
2025-11-30T14:37:19,526,437,608
2025-11-30T14:37:21,563,487,178
2025-11-30T14:37:23,574,613,540
2025-11-30T14:37:25,575,133,545
2025-11-30T14:37:27,533,166,384
2025-11-30T16:16:29,469,155,559
2025-11-30T16:16:31,558,492,151
2025-11-30T16:16:33,535,492,501
2025-11-30T16:16:37,544,489,430
2025-11-30T16:16:39,429,534,713
2025-11-30T16:16:41,436,456,215
2025-11-30T16:16:43,527,520,170
2025-11-30T16:17:08,543,185,746
2025-11-30T16:17:10,504,133,683
2025-11-30T16:17:12,576,139,644
2025-11-30T16:17:14,587,166,384
2025-11-30T16:17:16,564,515,173
2025-11-30T16:17:18,524,527,666
2025-11-30T16:17:20,557,469,535
2025-11-30T16:17:22,478,517,722
2025-11-30T16:17:24,318,258,313
2025-11-30T16:17:26,646,596,826
2025-11-30T16:17:28,14,10,15
2025-11-30T16:17:30,591,185,542
2025-11-30T16:17:32,513,271,494
2025-11-30T16:19:16,413,145,589
2025-11-30T16:19:18,555,355,345
2025-11-30T16:19:20,555,555,190
2025-11-30T16:19:24,634,265,372
2025-11-30T16:19:26,589,633,610
2025-11-30T16:19:28,544,767,697
2025-11-30T16:19:30,571,508,197
2025-11-30T16:19:32,443,485,683
2025-11-30T16:19:34,597,526,733
2025-11-30T16:20:18,605,145,748
2025-11-30T16:20:20,572,415,339
2025-11-30T16:20:22,507,266,464
2025-11-30T16:20:24,489,458,150
2025-11-30T16:20:26,472,460,213
2025-11-30T16:20:28,597,572,267
2025-11-30T16:20:30,623,597,589
2025-11-30T16:20:32,676,622,239
2025-11-30T16:20:34,597,207,349
2025-11-30T16:20:36,569,565,180
2025-11-30T16:20:38,476,489,628
2025-11-30T16:20:40,516,473,211
2025-11-30T16:20:42,457,534,728
2025-11-30T16:20:44,674,595,778
2025-11-30T16:20:46,43,40,38
2025-11-30T16:21:09,426,136,659
2025-11-30T16:21:11,268,297,723
2025-11-30T16:21:13,617,222,579
2025-11-30T16:21:15,503,453,219
2025-11-30T16:21:17,524,133,610
2025-11-30T16:21:19,585,534,686
2025-11-30T16:21:21,631,609,843
2025-11-30T16:21:23,621,553,778
2025-11-30T16:21:44,551,159,646
2025-11-30T16:21:46,618,604,231
2025-11-30T16:23:20,586,302,527
2025-11-30T16:23:22,661,274,620
2025-11-30T16:23:24,483,495,424
2025-11-30T16:23:26,594,502,152
2025-11-30T16:23:28,649,603,451
2025-11-30T16:24:01,446,197,730
2025-11-30T16:24:03,544,394,271
2025-11-30T16:24:05,555,543,160
2025-11-30T16:24:21,423,137,601
2025-11-30T16:24:23,543,325,349
2025-11-30T16:24:25,481,517,451
2025-11-30T16:24:28,616,417,468
2025-11-30T16:24:30,526,480,203
