timestamp,text
2025-11-29T23:30:16,Line tracking started
2025-11-29T23:30:18,Line tracking started
2025-11-29T23:30:29,Hello, I am PiCarX
2025-11-29T23:30:31,Hello, I am PiCarX
2025-11-29T23:30:37,helllloooo
2025-11-29T23:31:38,hello
2025-11-29T23:33:26,samuellll
2025-11-29T23:33:38,hello
2025-11-29T23:34:27,hello
2025-11-29T23:34:40,samy
2025-11-29T23:38:28,samy
2025-11-29T23:38:36,hello
2025-11-29T23:40:20,samuelllll
2025-11-29T23:46:08,why
2025-11-29T23:46:09,why
2025-11-29T23:46:17,why
2025-11-29T23:46:18,why
2025-11-29T23:46:31,hello
2025-11-29T23:46:32,hello
2025-11-29T23:53:52,hello
2025-11-29T23:54:02,samuelllllllll
2025-11-29T23:54:11,samuelllll
2025-11-29T23:54:15,Hello, I am PiCarX
2025-11-29T23:54:21,hello
2025-11-29T23:54:27,Obstacle detected
2025-11-29T23:54:27,Obstacle detected
2025-11-29T23:54:43,hello
